wT,wAT,wH,wP,wR,wTT,wWD,wWS
18551.253,28.9,16.2,1014.7,False,42.5,210,3.0
18611.334,28.9,16.3,1014.8,False,42.3,201,2.7
18671.247,28.9,16.2,1014.7,False,42.1,198,2.0
18731.248,28.9,16.0,1014.7,False,42.0,201,3.2
18791.248,28.9,16.2,1014.7,False,42.0,201,2.6
18851.259,28.9,16.4,1014.7,False,41.8,248,2.5
18911.249,29.0,16.4,1014.7,False,41.7,212,2.4
18971.249,29.0,16.0,1014.8,False,41.5,213,2.2
19031.249,28.9,16.2,1014.7,False,41.4,199,3.8
19091.271,28.8,16.2,1014.8,False,41.6,193,1.5
19151.25,28.9,16.2,1014.8,False,41.6,192,2.1
19211.271,29.0,16.4,1014.7,False,41.3,206,3.7
19271.262,29.0,16.1,1014.7,False,41.2,209,2.5
19331.272,29.1,16.4,1014.7,False,41.3,199,3.7
19392.076,29.0,16.3,1014.7,False,41.2,204,3.7
19451.276,28.9,16.5,1014.7,False,41.1,197,2.2
19511.707,28.9,16.2,1014.8,False,41.0,196,3.0
19571.273,29.0,16.2,1014.7,False,40.7,201,3.0
19631.273,29.1,16.5,1014.8,False,40.8,205,2.8
19691.29,29.1,15.8,1014.8,False,40.4,195,3.7
19751.299,29.0,16.1,1014.8,False,40.8,197,3.0
19811.319,29.0,16.5,1014.8,False,40.4,193,3.3
19871.33,28.9,16.1,1014.8,False,40.4,211,2.2
19931.354,28.9,16.1,1014.8,False,40.3,192,4.0
19991.383,28.9,16.3,1014.9,False,40.2,174,3.0
20051.373,28.9,15.8,1014.8,False,40.1,197,3.1
20111.383,29.0,15.9,1014.8,False,40.1,209,3.5
20171.376,28.9,16.1,1014.9,False,39.8,194,2.8
20231.399,28.9,16.0,1014.8,False,39.8,188,2.3
20291.456,28.9,15.9,1014.8,False,39.6,195,3.0
20351.42,28.9,15.9,1014.9,False,39.4,206,3.1
20411.419,28.9,16.0,1014.9,False,39.3,244,3.6
20471.397,28.9,16.0,1014.9,False,39.7,193,2.9
20531.392,29.0,15.6,1014.9,False,39.6,213,2.5
20591.417,29.1,15.8,1014.9,False,39.5,202,2.8
20651.435,29.0,15.5,1015.0,False,39.2,204,2.7
20711.448,28.9,15.8,1014.9,False,39.1,203,3.1
20771.468,29.0,15.5,1015.0,False,39.2,204,2.7
20831.463,29.0,15.8,1015.0,False,38.1,196,2.5
20891.46,28.9,15.8,1014.9,False,38.0,208,2.7
20951.469,29.0,15.8,1015.0,False,37.9,196,3.1
21011.464,29.1,15.6,1014.9,False,37.7,212,2.3
21071.461,29.0,15.7,1014.8,False,37.7,189,2.6
21131.456,29.1,16.0,1015.0,False,37.7,192,2.3
21191.461,29.1,15.8,1014.9,False,37.6,214,2.7
21251.462,29.1,15.8,1014.9,False,37.7,206,2.4
21311.462,29.0,16.0,1015.0,False,37.6,198,2.1
21371.462,29.0,16.3,1015.0,False,37.8,197,3.2
21431.459,28.9,16.4,1014.9,False,37.8,209,3.7
21491.45,28.9,16.2,1015.0,False,37.8,197,3.3
21551.484,28.8,16.2,1015.0,False,37.8,211,3.6
21611.464,28.8,16.3,1014.9,False,37.8,201,2.9
21672.304,28.7,16.3,1014.9,False,37.5,195,3.3
21731.478,28.7,16.2,1014.9,False,37.7,191,3.6
21791.461,28.7,16.3,1015.0,False,37.5,195,4.0
21851.493,28.8,16.3,1014.9,False,37.6,204,3.8
21911.506,28.8,16.2,1015.0,False,37.5,197,3.0
21971.51,28.8,16.2,1015.0,False,37.5,197,3.0
22031.507,28.7,16.4,1015.0,False,37.5,195,3.3
22091.492,28.7,16.2,1015.0,False,37.2,212,2.8
22151.525,28.7,16.5,1015.0,False,37.2,212,3.0
22211.536,28.7,16.3,1015.0,False,37.2,205,2.9
22271.536,28.7,16.3,1015.0,False,36.8,207,3.0
22331.556,28.7,16.1,1015.0,False,36.8,209,3.0
22391.537,28.7,16.3,1015.0,False,36.9,198,2.8
22451.553,28.8,16.3,1015.0,False,36.7,196,3.0
22511.557,28.8,16.2,1015.1,False,36.5,205,2.8
22571.559,28.7,16.3,1015.0,False,36.4,204,2.8
22631.729,28.6,16.2,1015.0,False,36.6,199,2.6
22691.563,28.5,16.2,1015.1,False,36.2,198,3.4
22751.571,28.5,16.2,1015.0,False,36.0,186,2.7
22811.571,28.5,16.3,1015.0,False,36.0,193,2.5
22871.568,28.5,16.3,1015.1,False,35.8,192,2.8
22931.572,28.5,16.4,1015.1,False,35.8,207,3.0
22991.572,28.5,16.0,1015.1,False,35.5,200,2.5
23051.573,28.4,16.1,1015.0,False,35.5,201,3.4
