wT,wAT,wH,wP,wR,wTT,wWD,wWS
21892.25,25.9,44.2,1014.1,False,36.5,187,0.6
21952.264,25.8,45.5,1014.3,False,35.9,198,0.5
22012.23,25.9,46.1,1014.3,False,35.4,346,0.9
22072.263,25.8,45.8,1014.4,False,36.2,354,0.9
22132.244,25.7,46.5,1014.3,False,35.5,227,0.6
22192.256,25.7,46.5,1014.3,False,35.5,227,0.6
22252.253,25.7,45.6,1014.4,False,35.3,14,0.5
22312.244,25.7,45.8,1014.4,False,35.9,31,1.1
22372.244,25.5,46.2,1014.4,False,34.9,96,0.8
22432.255,25.5,47.0,1014.4,False,35.7,18,0.7
22492.251,25.5,46.5,1014.4,False,35.8,0,0.0
22552.249,25.4,45.6,1014.5,False,35.5,338,0.5
22612.244,25.3,45.1,1014.5,False,35.6,17,0.8
22672.268,25.3,45.2,1014.5,False,35.3,63,1.2
22732.289,25.1,45.3,1014.5,False,35.2,36,0.5
22792.277,25.1,45.4,1014.5,False,35.0,42,1.3
22852.289,25.0,45.6,1014.4,False,34.7,59,0.9
22912.3,25.0,46.4,1014.6,False,35.0,354,1.0
22972.289,25.0,46.4,1014.6,False,35.0,354,1.0
23032.289,24.9,46.2,1014.6,False,34.6,342,1.1
23092.335,24.9,46.5,1014.6,False,33.7,263,0.7
23152.333,25.0,46.2,1014.6,False,34.8,21,0.9
23212.33,24.9,45.5,1014.6,False,34.5,100,1.2
23272.331,25.0,45.7,1014.7,False,34.3,266,0.5
23332.334,25.0,45.3,1014.6,False,34.4,350,0.7
23392.361,25.0,44.9,1014.6,False,34.0,64,1.2
23452.37,24.8,45.6,1014.7,False,33.6,76,0.7
23512.368,24.7,45.7,1014.7,False,33.7,11,0.7
23572.368,24.8,45.8,1014.7,False,34.1,38,1.1
23632.389,24.8,45.9,1014.7,False,33.5,50,0.8
23692.364,24.8,45.9,1014.7,False,33.5,50,0.8
23752.37,24.8,45.6,1014.7,False,33.5,54,1.1
23812.391,24.8,45.3,1014.7,False,33.5,88,0.8
23872.375,24.8,45.2,1014.6,False,33.9,91,0.5
23932.395,25.1,43.2,1014.7,False,33.4,189,0.6
23992.395,25.1,43.2,1014.7,False,33.4,189,0.6
24052.404,25.2,41.4,1014.7,False,33.7,28,0.9
24112.401,25.2,41.4,1014.7,False,33.7,28,0.9
24172.399,25.2,41.8,1014.8,False,33.8,60,0.5
24232.421,25.3,41.5,1014.7,False,32.8,232,0.9
24292.426,25.3,41.0,1014.8,False,33.3,298,0.7
24352.461,25.3,41.6,1014.8,False,32.3,292,0.7
24412.436,25.3,41.5,1014.8,False,33.1,341,0.4
24472.454,25.3,41.5,1014.8,False,33.1,341,0.4
24532.462,25.2,41.9,1014.8,False,32.1,237,0.8
24592.464,25.2,42.1,1014.8,False,32.2,0,0.0
24652.455,25.2,42.5,1014.8,False,33.1,2,0.5
24712.477,25.2,41.9,1014.8,False,32.7,98,0.5
24772.488,25.2,41.6,1014.9,False,32.6,0,0.0
24832.519,25.3,41.6,1014.8,False,32.7,186,1.0
24892.491,25.2,42.0,1014.8,False,32.4,204,1.0
24952.501,25.2,42.8,1014.8,False,32.3,155,0.4
25012.517,25.2,42.7,1014.9,False,32.1,0,0.0
25072.528,25.2,41.4,1014.9,False,32.2,150,0.6
25132.54,25.2,41.0,1014.8,False,32.4,125,0.9
25192.541,25.1,41.2,1014.9,False,31.6,0,0.0
25252.541,25.1,41.2,1014.9,False,31.6,0,0.0
25312.54,25.0,41.6,1014.8,False,31.9,152,0.5
25372.54,25.0,41.6,1014.8,False,31.9,152,0.5
25432.546,24.9,40.4,1014.9,False,31.6,159,0.6
25492.553,24.9,40.2,1015.0,False,31.7,31,0.5
25552.548,24.8,40.5,1014.9,False,31.3,49,0.6
25612.553,24.8,41.0,1014.9,False,31.1,96,0.8
25672.556,24.8,41.0,1014.9,False,31.1,96,0.8
25732.532,24.8,41.7,1015.0,False,30.8,92,0.3
25792.543,24.8,41.7,1015.0,False,30.8,92,0.3
25852.55,24.9,40.4,1015.0,False,30.8,75,0.5
25912.545,24.9,40.2,1015.0,False,30.7,169,0.6
25972.548,24.9,40.2,1015.0,False,30.7,169,0.6
26032.573,24.7,40.7,1015.1,False,30.0,265,0.7
26092.613,24.7,40.7,1015.1,False,30.0,265,0.7
26152.618,24.7,41.0,1015.0,False,29.4,214,1.1
